城市编码,城市,大类,中类,小类,名称,经度,纬度
450100,南宁市,公司企业,公司,建筑公司,南宁中建西部建设有限公司,108.374625,22.678225
450100,南宁市,公司企业,公司,建筑公司,广西金桂泉建筑工程有限责任公司,108.294179,22.795664
450100,南宁市,公司企业,公司,建筑公司,广西汉华工程技术咨询集团有限公司,108.427076,22.824772
450100,南宁市,公司企业,公司,建筑公司,中国建筑第八工程局,108.388083,22.832376
450100,南宁市,公司企业,公司,建筑公司,天皓建筑科技有限公司,108.276174,22.879329
450100,南宁市,公司企业,公司,建筑公司,广西建工集团第二建筑工程有限责任公司第十分公司,108.327789,22.784319
450100,南宁市,公司企业,公司,建筑公司,广西建工二建安装工程分公司,108.329045,22.784041
450100,南宁市,公司企业,公司,建筑公司,南宁市同恩建筑安装工程有限责任公司,108.307202,22.847200
450100,南宁市,公司企业,公司,建筑公司,中国建筑五局南宁吴圩机场改扩建工程空管工程,108.204734,22.617286
450100,南宁市,公司企业,公司,建筑公司,广西广洋建设集团有限公司,108.375690,22.760324
450100,南宁市,公司企业,公司,建筑公司,广西诚华工程造价咨询有限公司,108.394982,22.735876
450100,南宁市,公司企业,公司,建筑公司,广西书房园建筑劳务有限公司,108.253533,22.843158
450100,南宁市,公司企业,公司,建筑公司,广西路桥集团,108.339696,22.845484
450100,南宁市,公司企业,公司,建筑公司,广西华宏威建设工程有限公司,108.498175,22.743203
450100,南宁市,公司企业,公司,建筑公司,广西建标建设工程咨询有限责任公司,108.338429,22.787560
450100,南宁市,公司企业,公司,建筑公司,广西建工集团建筑机械制造有限责任公司,108.310523,22.863337
450100,南宁市,公司企业,公司,建筑公司,三建建筑工程集团有限公司钢结构厂,108.313996,22.861831
450100,南宁市,公司企业,公司,建筑公司,广西建工二建第九分公司,108.300217,22.858095
450100,南宁市,公司企业,公司,建筑公司,天津建工集团广西公司,108.348925,22.818025
450100,南宁市,公司企业,公司,建筑公司,广西岩泰建筑科技有限公司,108.304614,22.767918
450100,南宁市,公司企业,公司,建筑公司,广西魔方钢结构工程有限公司,108.306712,22.755595
450100,南宁市,公司企业,公司,建筑公司,中建海峡建设发展有限公司广西分公司,108.233203,22.793452
450100,南宁市,公司企业,公司,建筑公司,广西建工控股城市建设工程有限公司,108.366649,22.803370
450100,南宁市,公司企业,公司,建筑公司,广西永赢建筑工程集团有限公司,108.533294,22.815253
450100,南宁市,公司企业,公司,建筑公司,南宁市荣泽钢材有限公司,108.304750,22.883173
450100,南宁市,公司企业,公司,建筑公司,中泽工程技术有限公司,108.381444,22.820764
450100,南宁市,公司企业,公司,建筑公司,广西和瑞建筑劳务有限公司,108.280598,22.792205
450100,南宁市,公司企业,公司,建筑公司,广西城轨工程建设有限公司,108.418036,22.837988
450100,南宁市,公司企业,公司,建筑公司,广西远昌建设有限公司,108.288209,22.769023
450100,南宁市,公司企业,公司,建筑公司,广西恒博工程咨询有限公司,108.309253,22.756613
450100,南宁市,公司企业,公司,建筑公司,中铁建17局集团建筑公司广西办事处,108.281813,22.865658
450100,南宁市,公司企业,公司,建筑公司,广西宝光明建设有限公司,108.378415,22.762821
450100,南宁市,公司企业,公司,建筑公司,湛江旭立建筑(南宁分公司),108.523862,22.819949
450100,南宁市,公司企业,公司,建筑公司,广西松嘉建设工程有限公司,108.376943,22.867972
450100,南宁市,公司企业,公司,建筑公司,广西建工集团海河水利建设有限责任公司第(一分公司),109.147760,23.206467
450100,南宁市,公司企业,公司,建筑公司,广西展霖建设集团有限公司,108.426555,22.824600
450100,南宁市,公司企业,公司,建筑公司,广西群健建设有限公司,108.386077,22.751778
450100,南宁市,公司企业,公司,建筑公司,广西龙辰建筑工程有限公司,108.403039,22.814389
450100,南宁市,公司企业,公司,建筑公司,南宁市国峰机械租赁经营部,108.446940,22.891820
450100,南宁市,公司企业,公司,建筑公司,广西顺钢金属科技有限公司,108.301748,22.877551
